year,origin_geoid,dest_geoid,flow,origin_name,dest_name,origin_name,origin_lon,origin_lat,dest_name,dest_lon,dest_lat
2018,01065,23015,334,Hale,Lincoln,Hale,-87.6292308426273,32.76256749431152,Lincoln,-69.54230430729412,44.06292324884638
2018,01065,27017,559,Hale,Carlton,Hale,-87.6292308426273,32.76256749431152,Carlton,-92.67723251029935,46.59230447491479
2018,72009,01065,617,Aibonito,Hale,Aibonito,-66.26462411419631,18.130546044626193,Hale,-87.6292308426273,32.76256749431152
2018,22085,01065,614,Sabine,Hale,Sabine,-93.55506686158097,31.56284593822014,Hale,-87.6292308426273,32.76256749431152
2018,55078,01133,939,Menominee,Winston,Menominee,-88.70945737829922,45.00426881864944,Winston,-87.37337815841794,34.14969619943666
2018,60030,01133,180,Rose Island,Winston,Rose Island,-168.15211317803295,-14.542123429984953,Winston,-87.37337815841794,34.14969619943666
2018,32027,01133,965,Pershing,Winston,Pershing,-118.40458611963655,40.440142429088745,Winston,-87.37337815841794,34.14969619943666
2018,18171,01133,83,Warren,Winston,Warren,-87.3535931872836,40.34672520868343,Winston,-87.37337815841794,34.14969619943666
2018,35005,01111,179,Chaves,Randolph,Chaves,-104.46901069423896,33.36248346852581,Randolph,-85.45915729360873,33.29353231369059
2018,01111,02130,924,Randolph,Ketchikan Gateway,Randolph,-85.45915729360873,33.29353231369059,Ketchikan Gateway,-130.93500651879646,55.58316884600228
2018,01009,32009,256,Blount,Esmeralda,Blount,-86.56699351196858,33.98112926877265,Esmeralda,-117.63129850501845,37.78394434319081
2018,01009,54059,685,Blount,Mingo,Blount,-86.56699351196858,33.98112926877265,Mingo,-82.13519036839423,37.72731763057834
2018,01009,41061,735,Blount,Union,Blount,-86.56699351196858,33.98112926877265,Union,-118.00917545835038,45.30990263486621
2018,01009,51087,266,Blount,Henrico,Blount,-86.56699351196858,33.98112926877265,Henrico,-77.40597309346816,37.5382849968731
2018,01077,31169,51,Lauderdale,Thayer,Lauderdale,-87.65409253918034,34.90168980070565,Thayer,-97.59506166067902,40.1762070057522
