year,origin_geoid,dest_geoid,flow,origin_name,dest_name,origin_name,origin_lon,origin_lat,dest_name,dest_lon,dest_lat
2020,53059,01065,303,Skamania,Hale,Skamania,-121.91465415895927,46.021822352030135,Hale,-87.6292308426273,32.76256749431152
2020,26089,01065,811,Leelanau,Hale,Leelanau,-85.81236946796268,44.939192965608136,Hale,-87.6292308426273,32.76256749431152
2020,04027,01065,68,Yuma,Hale,Yuma,-113.9058786280493,32.768860525592004,Hale,-87.6292308426273,32.76256749431152
2020,01133,34039,412,Winston,Union,Winston,-87.37337815841794,34.14969619943666,Union,-74.30725210791533,40.65952086187658
2020,09003,01133,113,Hartford,Winston,Hartford,-72.73285602355122,41.80623282519639,Winston,-87.37337815841794,34.14969619943666
2020,30061,01133,560,Mineral,Winston,Mineral,-114.99676896944874,47.146842942046064,Winston,-87.37337815841794,34.14969619943666
2020,01133,18171,746,Winston,Warren,Winston,-87.37337815841794,34.14969619943666,Warren,-87.3535931872836,40.34672520868343
2020,15007,01111,213,Kauai,Randolph,Kauai,-159.5959374081224,22.040022390610634,Randolph,-85.45915729360873,33.29353231369059
2020,01111,20025,106,Randolph,Clark,Randolph,-85.45915729360873,33.29353231369059,Clark,-99.82001265621741,37.23548182181783
2020,01111,33017,239,Randolph,Strafford,Randolph,-85.45915729360873,33.29353231369059,Strafford,-71.02846304520081,43.296524133566855
2020,01009,09009,85,Blount,New Haven,Blount,-86.56699351196858,33.98112926877265,New Haven,-72.93125232713736,41.41049533722678
2020,13119,01009,235,Franklin,Blount,Franklin,-83.22923543618779,34.375568482726145,Blount,-86.56699351196858,33.98112926877265
2020,01009,08057,262,Blount,Jackson,Blount,-86.56699351196858,33.98112926877265,Jackson,-106.3423583542447,40.66605901336306
2020,01077,04012,605,Lauderdale,La Paz,Lauderdale,-87.65409253918034,34.90168980070565,La Paz,-113.98243445342943,33.72882668287007
2020,20133,01077,173,Neosho,Lauderdale,Neosho,-95.30662006876831,37.55841218532179,Lauderdale,-87.65409253918034,34.90168980070565
2020,30035,01077,680,Glacier,Lauderdale,Glacier,-112.99423922372893,48.705139564895426,Lauderdale,-87.65409253918034,34.90168980070565
