year,origin_geoid,dest_geoid,flow,origin_name,dest_name
2018,01065,23015,334,Hale,Lincoln
2018,01065,27017,559,Hale,Carlton
2018,72009,01065,617,Aibonito,Hale
2018,22085,01065,614,Sabine,Hale
2018,55078,01133,939,Menominee,Winston
2018,60030,01133,180,Rose Island,Winston
2018,32027,01133,965,Pershing,Winston
2018,18171,01133,83,Warren,Winston
2018,35005,01111,179,Chaves,Randolph
2018,01111,02130,924,Randolph,Ketchikan Gateway
2018,01009,32009,256,Blount,Esmeralda
2018,01009,54059,685,Blount,Mingo
2018,01009,41061,735,Blount,Union
2018,01009,51087,266,Blount,Henrico
2018,01077,31169,51,Lauderdale,Thayer
2018,01077,35027,497,Lauderdale,Lincoln
2018,51680,01077,473,Lynchburg,Lauderdale
2018,01077,35031,458,Lauderdale,McKinley
2018,01077,02068,844,Lauderdale,Denali
2018,31009,01071,224,Blaine,Jackson
2018,01071,78030,275,Jackson,St. Thomas
2018,42073,01071,413,Lawrence,Jackson
2018,01045,17015,984,Dale,Carroll
2018,01045,29181,559,Dale,Ripley
2018,01123,55081,361,Tallapoosa,Monroe
2018,02188,01123,169,Northwest Arctic,Tallapoosa
2018,32021,01005,599,Mineral,Barbour
2018,69085,01005,193,Northern Islands,Barbour
2018,50021,01005,64,Rutland,Barbour
2018,19171,01027,134,Tama,Clay
2018,39055,01027,273,Geauga,Clay
2018,54025,01027,568,Greenbrier,Clay
2018,01027,33007,847,Clay,Coos
2018,01027,35005,975,Clay,Chaves
2018,72073,02068,108,Jayuya,Denali
2018,02068,24001,450,Denali,Allegany
2018,02068,32029,254,Denali,Storey
2018,02198,02130,717,Prince of Wales-Hyder,Ketchikan Gateway
2018,02198,35023,1000,Prince of Wales-Hyder,Hidalgo
2018,02198,36023,805,Prince of Wales-Hyder,Cortland
2018,08057,02158,782,Jackson,Kusilvak
2018,34023,02158,965,Middlesex,Kusilvak
2018,02158,39071,783,Kusilvak,Highland
2018,02158,41037,648,Kusilvak,Lake
2018,60030,02158,443,Rose Island,Kusilvak
2018,69100,02013,763,Rota,Aleutians East
2018,02013,55029,613,Aleutians East,Door
2018,02013,51540,751,Aleutians East,Charlottesville
2018,12041,02013,171,Gilchrist,Aleutians East
2018,05027,02013,902,Columbia,Aleutians East
2018,49011,02130,99,Davis,Ketchikan Gateway
2018,02130,56041,456,Ketchikan Gateway,Uinta
2018,02130,15005,89,Ketchikan Gateway,Kalawao
2018,02130,60030,1000,Ketchikan Gateway,Rose Island
2018,04009,02130,108,Graham,Ketchikan Gateway
2018,02230,06051,889,Skagway,Mono
2018,02230,01045,878,Skagway,Dale
2018,02230,55099,537,Skagway,Price
2018,02110,42033,610,Juneau,Clearfield
2018,04013,02110,132,Maricopa,Juneau
2018,02100,27115,694,Haines,Pine
2018,02100,30079,374,Haines,Prairie
2018,17013,02170,638,Calhoun,Matanuska-Susitna
2018,78030,02170,389,St. Thomas,Matanuska-Susitna
2018,02170,42073,450,Matanuska-Susitna,Lawrence
2018,27057,02170,176,Hubbard,Matanuska-Susitna
2018,02188,42117,648,Northwest Arctic,Tioga
2018,02188,20133,227,Northwest Arctic,Neosho
2018,02188,29163,941,Northwest Arctic,Pike
2018,04021,37177,604,Pinal,Tyrrell
2018,12041,04021,225,Gilchrist,Pinal
2018,31009,04021,498,Blaine,Pinal
2018,04021,26087,203,Pinal,Lapeer
2018,04021,01133,186,Pinal,Winston
2018,04023,09001,545,Santa Cruz,Fairfield
2018,04023,25011,848,Santa Cruz,Franklin
2018,36023,04015,605,Cortland,Mohave
2018,04015,28081,235,Mohave,Lee
2018,02158,04013,169,Kusilvak,Maricopa
2018,47125,04013,909,Montgomery,Maricopa
2018,04013,34021,52,Maricopa,Mercer
2018,04013,28081,508,Maricopa,Lee
2018,04013,31125,758,Maricopa,Nance
